collection,lesson,links,lesson_url,review_url,dialog_url,notes_url,lesson_size,review_size,dialog_size,notes_size
learn-with-pictures,facial-features,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,computers,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
all-about-vietnamese-culture-and-society,all-about-14-top-5-vietnamese-classroom-phrases,"['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf', 'https://mdn.illops.net/vietnamesepod101/ALL_L14_111113_vpod101.mp3']",https://mdn.illops.net/vietnamesepod101/ALL_L14_111113_vpod101.mp3,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,6.8212080001831055,0.0,0.0,0.07863616943359375
learn-with-pictures,marine-animals,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,geography,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,farm-animals,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,numbers,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,colors,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,at-home,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,sports,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,drinks,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,school-subjects,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,in-a-room,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,jobs,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,travel,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,at-school,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,in-the-bookstore,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,weather-forecast-says,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,all-parts-of-the-body,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,getting-around-in-vehicles,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,in-the-city,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
learn-with-pictures,get-your-fruit,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
all-about-vietnamese-culture-and-society,all-about-12-top-5-tips-for-avoiding-common-mistakes-in-vietnamese,"['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf', 'https://mdn.illops.net/vietnamesepod101/ALL_L12_102813_vpod101.mp3']",https://mdn.illops.net/vietnamesepod101/ALL_L12_102813_vpod101.mp3,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,9.285135269165039,0.0,0.0,0.07863616943359375
learn-with-pictures,in-the-office,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
all-about-vietnamese-culture-and-society,all-about-11-top-5-most-useful-tools-for-learning-vietnamese,"['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf', 'https://mdn.illops.net/vietnamesepod101/ALL_L11_102113_vpod101.mp3']",https://mdn.illops.net/vietnamesepod101/ALL_L11_102113_vpod101.mp3,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,7.505200386047363,0.0,0.0,0.07863616943359375
learn-with-pictures,clothing,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
all-about-vietnamese-culture-and-society,all-about-10-top-5-things-you-need-to-know-about-vietnamese-pop-culture,"['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf', 'https://mdn.illops.net/vietnamesepod101/ALL_L10_101413_vpod101.mp3']",https://mdn.illops.net/vietnamesepod101/ALL_L10_101413_vpod101.mp3,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,7.627170562744141,0.0,0.0,0.07863616943359375
learn-with-pictures,cooking-in-the-kitchen,['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf'],-1,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,0.0,0.0,0.0,0.07863616943359375
all-about-vietnamese-culture-and-society,all-about-4-basic-vietnamese-pronunciation,"['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf', 'https://mdn.illops.net/vietnamesepod101/ALL_L4_090213_vpod101.mp3']",https://mdn.illops.net/vietnamesepod101/ALL_L4_090213_vpod101.mp3,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,7.071127891540527,0.0,0.0,0.07863616943359375
all-about-vietnamese-culture-and-society,all-about-2-the-vietnamese-writing-system,"['https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf', 'https://mdn.illops.net/vietnamesepod101/ALL_L2_081913_vpod101.mp3']",https://mdn.illops.net/vietnamesepod101/ALL_L2_081913_vpod101.mp3,-1,-1,https://www.innovativelanguage.com/pdfs/fluency_fast_premium_checklist.pdf,8.9766206741333,0.0,0.0,0.07863616943359375
