collection,lesson,lesson_url,lesson_size
flexing-your-fluency,video-culture-class-vietnamese-holidays-6-liberation-dayreunification-day,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-5-hung-kings-commemoriations,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-4-national-day,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-3-tet-holiday,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-1-new-years-day,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-2-christmas-day,-1,0.0
flexing-your-fluency,advanced-audio-blog-s2-22-top-10-vietnamese-writers-han-mac-tu,https://mdn.illops.net/vietnamesepod101/A_S2L22_112912_vpod101.mp3,4.1239824295043945
flexing-your-fluency,advanced-audio-blog-s2-23-top-10-vietnamese-writers-nguyen-tuan,https://mdn.illops.net/vietnamesepod101/A_S2L23_120612_vpod101.mp3,4.072563171386719
flexing-your-fluency,advanced-audio-blog-s2-25-top-10-vietnamese-writers-nam-cao,https://mdn.illops.net/vietnamesepod101/A_S2L25_122012_vpod101.mp3,4.070769309997559
flexing-your-fluency,advanced-audio-blog-s2-24-top-10-vietnamese-writers-duong-thu-huong,https://mdn.illops.net/vietnamesepod101/A_S2L24_121312_vpod101.mp3,4.1066436767578125
flexing-your-fluency,advanced-audio-blog-s2-21-top-10-vietnamese-writers-xuan-dieu,https://mdn.illops.net/vietnamesepod101/A_S2L21_112212_vpod101.mp3,4.02353572845459
flexing-your-fluency,advanced-audio-blog-s2-20-top-10-vietnamese-writers-ho-xuan-huong,https://mdn.illops.net/vietnamesepod101/A_S2L20_111512_vpod101.mp3,4.113598823547363
flexing-your-fluency,advanced-audio-blog-s2-18-top-10-vietnamese-writers-nguyen-binh-khiem,https://mdn.illops.net/vietnamesepod101/A_S2L18_110112_vpod101.mp3,3.940428733825684
flexing-your-fluency,advanced-audio-blog-s2-19-top-10-vietnamese-writers-vu-trong-phung,https://mdn.illops.net/vietnamesepod101/A_S2L19_110812_vpod101.mp3,4.3703155517578125
flexing-your-fluency,advanced-audio-blog-s2-17-top-10-vietnamese-writers-nguyen-trai,https://mdn.illops.net/vietnamesepod101/A_S2L17_102512_vpod101.mp3,4.712471008300781
flexing-your-fluency,advanced-audio-blog-s2-16-top-10-vietnamese-writers-nguyen-du,https://mdn.illops.net/vietnamesepod101/A_S2L16_101812_vpod101.mp3,3.817859649658203
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-15-whats-on-these-shelves-in-vietnam,-1,0.0
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-14-giving-back-to-the-community-in-vietnam,-1,0.0
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-13-discussing-survey-results-in-vietnamese,-1,0.0
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-11-going-to-the-library-in-vietnam,-1,0.0
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-12-choosing-travel-insurance-in-vietnam,-1,0.0
flexing-your-fluency,advanced-audio-blog-s2-15-top-10-vietnamese-leaders-ngo-quyen,https://mdn.illops.net/vietnamesepod101/A_S2L15_101112_vpod101.mp3,4.108436584472656
flexing-your-fluency,advanced-audio-blog-s2-14-top-10-vietnamese-leaders-phan-chu-trinh,https://mdn.illops.net/vietnamesepod101/A_S2L14_100412_vpod101.mp3,4.532504081726074
flexing-your-fluency,advanced-audio-blog-s2-13-top-10-vietnamese-leaders-nguyen-anh,https://mdn.illops.net/vietnamesepod101/A_S2L13_092712_vpod101.mp3,4.140503883361816
flexing-your-fluency,advanced-audio-blog-s2-12-top-10-vietnamese-leaders-tran-thu-do,https://mdn.illops.net/vietnamesepod101/A_S2L12_092012_vpod101.mp3,4.127350807189941
flexing-your-fluency,advanced-audio-blog-s2-11-top-10-vietnamese-leaders-phan-boi-chau,https://mdn.illops.net/vietnamesepod101/A_S2L11_091312_vpod101.mp3,4.352159500122069
flexing-your-fluency,advanced-audio-blog-s2-10-top-10-vietnamese-leaders-ho-chi-minh,https://mdn.illops.net/vietnamesepod101/A_S2L10_090612_vpod101.mp3,4.2260026931762695
flexing-your-fluency,advanced-audio-blog-s2-9-top-10-vietnamese-leaders-ly-cong-uan,https://mdn.illops.net/vietnamesepod101/A_S2L9_083012_vpod101.mp3,3.8459606170654297
flexing-your-fluency,advanced-audio-blog-s2-8-top-10-vietnamese-leaders-le-loi,https://mdn.illops.net/vietnamesepod101/A_S2L8_082312_vpod101.mp3,4.1999149322509775
flexing-your-fluency,advanced-audio-blog-s2-7-top-10-vietnamese-leaders-trieu-thi-trinh,https://mdn.illops.net/vietnamesepod101/A_S2L7_081612_vpod101.mp3,3.7945423126220703
